Cabin (group),Cabin,Channel Type,Sub Channel Type,Ticket Type,Point of Sale,Rev (GBP) CY,Rev (GBP) PY,Passengers CY,Passengers PY,Average Fare (GBP) CY,Average Fare (GBP) PY
W,W,Consumer,Tour Op / Cruise,Published,NorAm,1947.0,2480.0,7.0,16.0,278.0,155.0
W,W,Consumer,Tour Op / Cruise,SME,GB,447.0,2551.5,1.0,6.0,447.0,324.0
W,W,Consumer,Tour Op / Cruise,SO Net,GB,651.0,2551.5,2.0,6.0,326.0,324.0
W,W,Consumer,VFR,IT Net,GB,3496.0,2551.5,11.0,6.0,318.0,324.0
W,W,Consumer,VFR,Published,GB,1841.0,1968.0,2.0,4.0,921.0,492.0
W,W,Consumer,VFR,SO Net,GB,2214.0,3633.0,8.0,12.0,277.0,303.0
W,W,Direct,ATO,Corporate,GB,1947.0,1103.0,6.0,2.0,272.0,551.0
W,W,Direct,ATO,Published,GB,1338.0,573.0,2.0,3.0,669.0,191.0
W,W,Direct,ATO,Published,NorAm,1947.0,1214.0,6.0,3.0,272.0,405.0
W,W,Direct,ATO,Published,Other,366.0,2551.5,1.0,6.0,366.0,324.0
W,W,Direct,ATO,SO Net,Other,1947.0,540.0,6.0,1.0,272.0,540.0
W,W,Direct,CTO,Published,GB,4457.0,5084.0,12.0,22.0,371.0,231.0
W,W,Direct,CTO,Published,NorAm,8257.0,10478.0,17.0,25.0,486.0,419.0
W,W,Direct,CTO,Published,Other,713.0,2551.5,2.0,6.0,357.0,324.0
W,W,Direct,CTO,SO Net,GB,1089.0,2551.5,4.0,6.0,272.0,324.0
W,W,Direct,OAL,Corporate,NorAm,1947.0,471.0,6.0,1.0,272.0,471.0
W,W,Direct,OAL,Group,NorAm,553.0,2551.5,1.0,6.0,553.0,324.0
W,W,Direct,OAL,IT Net,NorAm,991.0,204.0,2.0,1.0,496.0,204.0
W,W,Direct,OAL,Published,NorAm,89646.0,37700.0,156.0,131.0,575.0,288.0
W,W,Direct,OAL,Specialist,NorAm,1947.0,204.0,6.0,1.0,272.0,204.0
W,W,Direct,Res,Published,GB,24432.0,23995.0,103.0,89.0,237.0,270.0
W,W,Direct,Res,Published,NorAm,20129.0,20125.0,59.0,92.0,341.0,219.0
W,W,Direct,Staff,Published,GB,89.0,35.0,13.0,3.0,7.0,12.0
W,W,Direct,Staff,SO Net,GB,410.0,2551.5,2.0,6.0,205.0,324.0
W,W,Direct,STAFF,SO Net,NorAm,1947.0,280.0,6.0,1.0,272.0,280.0
W,W,Direct,Web,Net Fare,NorAm,206.0,2551.5,1.0,6.0,206.0,324.0
W,W,Direct,Web,Published,GB,95394.0,83513.0,326.0,261.0,293.0,320.0
W,W,Direct,Web,Published,NorAm,83700.0,108052.0,212.0,288.0,395.0,375.0
W,W,Direct,Web,Published,Other,378.0,1156.0,1.0,3.0,378.0,385.0
W,W,Direct,WNS,Published,GB,954.0,2628.0,4.0,9.0,239.0,292.0
