Cabin (group),Cabin,Channel Type,Sub Channel Type,Ticket Type,Point of Sale,Rev (GBP) CY,Rev (GBP) PY,Passengers CY,Passengers PY,Average Fare (GBP) CY,Average Fare (GBP) PY
W,W,Consumer,Student,Specialist,GB,375,,2,,188,
W,W,Consumer,Tour Op / Cruise,IT Net,GB,"2,556","4,545",8,12,319,379
W,W,Consumer,Tour Op / Cruise,Published,NorAm,"1,947","2,480",7,16,278,155
W,W,Consumer,Tour Op / Cruise,SME,GB,447,,1,,447,
W,W,Consumer,Tour Op / Cruise,SO Net,GB,651,,2,,326,
W,W,Consumer,VFR,IT Net,GB,"3,496",,11,,318,
W,W,Consumer,VFR,Published,GB,"1,841","1,968",2,4,921,492
W,W,Consumer,VFR,SO Net,GB,"2,214","3,633",8,12,277,303
W,W,Direct,ATO,Corporate,GB,,"1,103",,2,,551
W,W,Direct,ATO,Published,GB,"1,338",573,2,3,669,191
W,W,Direct,ATO,Published,NorAm,,"1,214",,3,,405
W,W,Direct,ATO,Published,Other,366,,1,,366,
W,W,Direct,ATO,SO Net,Other,,540,,1,,540
W,W,Direct,CTO,Published,GB,"4,457","5,084",12,22,371,231
W,W,Direct,CTO,Published,NorAm,"8,257","10,478",17,25,486,419
W,W,Direct,CTO,Published,Other,713,,2,,357,
W,W,Direct,CTO,SO Net,GB,"1,089",,4,,272,
W,W,Direct,OAL,Corporate,NorAm,,471,,1,,471
W,W,Direct,OAL,Group,NorAm,553,,1,,553,
W,W,Direct,OAL,IT Net,NorAm,991,204,2,1,496,204
W,W,Direct,OAL,Published,NorAm,"89,646","37,700",156,131,575,288
W,W,Direct,OAL,Specialist,NorAm,,204,,1,,204
W,W,Direct,Res,Published,GB,"24,432","23,995",103,89,237,270
W,W,Direct,Res,Published,NorAm,"20,129","20,125",59,92,341,219
W,W,Direct,Staff,Published,GB,89,35,13,3,7,12
W,W,Direct,Staff,SO Net,GB,410,,2,,205,
W,W,Direct,STAFF,SO Net,NorAm,,280,,1,,280
W,W,Direct,Web,Net Fare,NorAm,206,,1,,206,
W,W,Direct,Web,Published,GB,"95,394","83,513",326,261,293,320
W,W,Direct,Web,Published,NorAm,"83,700","108,052",212,288,395,375
W,W,Direct,Web,Published,Other,378,"1,156",1,3,378,385
W,W,Direct,WNS,Published,GB,954,"2,628",4,9,239,292
W,W,Direct,WNS,Published,NorAm,100,102,1,1,100,102
W,W,NULL,NULL,Corporate,NorAm,452,343,1,2,452,172
W,W,NULL,NULL,Net Fare,GB,886,,1,,886,
W,W,NULL,NULL,Published,GB,"1,120",892,5,2,224,446
W,W,NULL,NULL,Published,NorAm,"24,138","9,190",47,28,514,328
W,W,NULL,NULL,Published,Other,"1,950","2,223",4,5,488,445
W,W,NULL,NULL,Specialist,NorAm,235,449,1,1,235,449
W,W,Other,OAL,Published,GB,,"2,231",,5,,446
W,W,Other,OAL,Published,Other,"2,353","3,119",4,5,588,624
W,W,Other,Unknown,Published,GB,"1,509",,2,,755,
W,W,Other,Unknown,Published,Other,,"1,602",,2,,801
W,W,TMC,Consortia,Corporate,GB,"1,900",,2,,950,
W,W,TMC,Consortia,IT Net,GB,,"2,914",,9,,324
W,W,TMC,Consortia,Published,GB,689,"3,917",1,5,689,783
W,W,TMC,Consortia,SME,GB,"3,310","3,745",5,5,662,749
W,W,TMC,Consortia,SO Net,GB,"1,535","3,019",7,8,219,377
W,W,TMC,Consortia,SO Net,Other,,959,,3,,320
W,W,TMC,Global,Corporate,GB,"44,176","37,857",59,55,749,688
W,W,TMC,Global,Corporate,NorAm,"18,910","9,321",23,12,822,777
W,W,TMC,Global,Corporate,Other,,"1,950",,1,,"1,950"
W,W,TMC,Global,Flying Co Too,GB,"2,891",,3,,964,
W,W,TMC,Global,Group,GB,,"4,046",,4,,"1,012"
W,W,TMC,Global,IT Net,GB,,459,,1,,459
W,W,TMC,Global,Published,GB,"45,835","21,205",100,36,458,589
W,W,TMC,Global,Published,NorAm,"27,362","34,732",50,72,547,482
W,W,TMC,Global,Published,Other,"1,061",,2,,531,
W,W,TMC,Global,SME,GB,"49,019","12,075",79,16,620,755
W,W,TMC,Global,SO Net,GB,,230,,1,,230
W,W,TMC,Local,Corporate,GB,"39,092","44,936",71,68,551,661
W,W,TMC,Local,Corporate,NorAm,"1,558",886,2,1,779,886
W,W,TMC,Local,Corporate,Other,"3,813",,4,,953,
W,W,TMC,Local,IT Net,GB,278,"19,198",1,48,278,400
W,W,TMC,Local,IT Net,NorAm,629,"1,890",2,6,314,315
W,W,TMC,Local,Published,GB,"27,016","25,459",67,52,403,490
W,W,TMC,Local,Published,NorAm,"25,525","18,291",49,34,521,538
W,W,TMC,Local,Published,Other,"3,491","6,878",5,10,698,688
W,W,TMC,Local,SME,GB,"49,698","14,883",71,15,700,992
W,W,TMC,Local,SME,Other,432,,1,,432,
